dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
nearly_sorted,1000,MERGESORT,92.056,87.989,90.242,8050,16100,11
nearly_sorted,1000,STRING_QUICKSORT,75.713,67.263,73.313,8215,9001,11
nearly_sorted,1000,STRING_MERGESORT_LCP,96.981,89.181,93.757,3745,7490,11
nearly_sorted,1000,MSD_RADIX_SORT,70.725,69.515,70.687,0,4878,11
nearly_sorted,1000,MSD_RADIX_SORT_WITH_STRING_QS,62.806,53.818,59.229,3875,6634,11
nearly_sorted,1100,QUICKSORT,141.590,134.992,137.487,15112,30224,11
nearly_sorted,1100,MERGESORT,100.586,95.749,99.253,8805,17610,11
nearly_sorted,1100,STRING_QUICKSORT,79.417,71.110,75.591,9054,9911,11
nearly_sorted,1100,STRING_MERGESORT_LCP,110.552,104.268,106.939,4106,8212,11
nearly_sorted,1100,MSD_RADIX_SORT,77.367,76.143,77.024,0,5364,11
nearly_sorted,1100,MSD_RADIX_SORT_WITH_STRING_QS,67.719,58.326,65.205,4239,7270,11
nearly_sorted,1200,QUICKSORT,153.112,145.364,149.562,16508,33016,11
nearly_sorted,1200,MERGESORT,111.471,106.394,108.532,9490,18980,11
nearly_sorted,1200,STRING_QUICKSORT,88.038,79.993,85.566,10054,10982,11
nearly_sorted,1200,STRING_MERGESORT_LCP,124.286,114.321,118.905,4381,8762,11
nearly_sorted,1200,MSD_RADIX_SORT,90.998,89.160,90.664,0,5826,11
nearly_sorted,1200,MSD_RADIX_SORT_WITH_STRING_QS,72.027,64.279,70.845,4596,7895,11
nearly_sorted,1300,QUICKSORT,170.324,161.948,164.819,18297,36594,11
nearly_sorted,1300,MERGESORT,121.863,117.635,118.833,10462,20924,11
nearly_sorted,1300,STRING_QUICKSORT,99.194,90.081,93.848,11197,12203,11
nearly_sorted,1300,STRING_MERGESORT_LCP,138.401,128.886,133.639,4849,9698,11
nearly_sorted,1300,MSD_RADIX_SORT,94.547,92.364,93.483,0,6308,11
nearly_sorted,1300,MSD_RADIX_SORT_WITH_STRING_QS,81.304,73.979,80.367,4987,8564,11
nearly_sorted,1400,QUICKSORT,193.946,180.161,187.238,20040,40080,11
nearly_sorted,1400,MERGESORT,131.574,125.899,128.861,11122,22244,11
nearly_sorted,1400,STRING_QUICKSORT,107.813,101.127,104.298,12086,13167,11
nearly_sorted,1400,STRING_MERGESORT_LCP,146.319,136.831,142.737,5016,10032,11
nearly_sorted,1400,MSD_RADIX_SORT,98.605,97.347,98.272,0,6794,11
nearly_sorted,1400,MSD_RADIX_SORT_WITH_STRING_QS,85.582,77.255,84.739,5336,9186,11
nearly_sorted,1500,QUICKSORT,200.134,190.336,197.669,21537,43074,11
nearly_sorted,1500,MERGESORT,147.876,141.240,142.861,12131,24262,11
nearly_sorted,1500,STRING_QUICKSORT,117.240,108.962,115.910,13077,14254,11
nearly_sorted,1500,STRING_MERGESORT_LCP,165.214,155.807,160.395,5460,10920,11
nearly_sorted,1500,MSD_RADIX_SORT,112.450,110.995,112.493,0,7292,11
nearly_sorted,1500,MSD_RADIX_SORT_WITH_STRING_QS,92.898,83.938,89.222,5729,9852,11
nearly_sorted,1600,QUICKSORT,215.250,206.557,214.494,23361,46722,11
nearly_sorted,1600,MERGESORT,157.160,152.569,155.451,13086,26172,11
nearly_sorted,1600,STRING_QUICKSORT,123.564,114.419,119.628,13953,15200,11
nearly_sorted,1600,STRING_MERGESORT_LCP,176.626,169.591,173.840,5871,11742,11
nearly_sorted,1600,MSD_RADIX_SORT,116.479,115.302,116.267,0,7786,11
nearly_sorted,1600,MSD_RADIX_SORT_WITH_STRING_QS,97.308,90.444,92.772,6129,10535,11
nearly_sorted,1700,QUICKSORT,230.826,221.686,226.532,24785,49570,11
nearly_sorted,1700,MERGESORT,165.625,161.012,162.584,13944,27888,11
nearly_sorted,1700,STRING_QUICKSORT,139.678,129.673,138.839,15140,16470,11
nearly_sorted,1700,STRING_MERGESORT_LCP,185.360,178.421,181.020,6260,12520,11
nearly_sorted,1700,MSD_RADIX_SORT,126.221,125.604,126.018,0,8242,11
nearly_sorted,1700,MSD_RADIX_SORT_WITH_STRING_QS,104.916,95.261,98.433,6510,11185,11
nearly_sorted,1800,QUICKSORT,248.072,235.361,245.971,26437,52874,11
nearly_sorted,1800,MERGESORT,186.948,170.681,172.011,14983,29966,11
nearly_sorted,1800,STRING_QUICKSORT,148.348,132.553,146.820,16182,17582,11
nearly_sorted,1800,STRING_MERGESORT_LCP,196.577,186.735,190.995,6662,13324,11
nearly_sorted,1800,MSD_RADIX_SORT,127.462,125.684,127.377,0,8738,11
nearly_sorted,1800,MSD_RADIX_SORT_WITH_STRING_QS,111.426,103.106,106.995,6859,11808,11
nearly_sorted,1900,QUICKSORT,257.584,249.937,255.620,27824,55648,11
nearly_sorted,1900,MERGESORT,185.966,179.082,183.236,15906,31812,11
nearly_sorted,1900,STRING_QUICKSORT,158.056,144.325,150.703,17261,18747,11
nearly_sorted,1900,STRING_MERGESORT_LCP,206.401,197.949,202.154,7028,14056,11
nearly_sorted,1900,MSD_RADIX_SORT,136.633,133.342,135.159,0,9226,11
nearly_sorted,1900,MSD_RADIX_SORT_WITH_STRING_QS,118.632,110.718,114.022,7230,12457,11
nearly_sorted,2000,QUICKSORT,275.374,267.011,273.465,29358,58716,11
nearly_sorted,2000,MERGESORT,197.004,190.823,192.991,17052,34104,11
nearly_sorted,2000,STRING_QUICKSORT,162.438,152.829,160.684,18220,19785,11
nearly_sorted,2000,STRING_MERGESORT_LCP,219.470,212.729,216.935,7495,14990,11
nearly_sorted,2000,MSD_RADIX_SORT,142.905,139.745,141.933,0,9728,11
nearly_sorted,2000,MSD_RADIX_SORT_WITH_STRING_QS,126.549,114.167,124.967,7601,13102,11
nearly_sorted,2100,QUICKSORT,289.409,277.125,285.170,31065,62130,11
nearly_sorted,2100,MERGESORT,206.791,199.472,204.213,17971,35942,11
nearly_sorted,2100,STRING_QUICKSORT,172.731,165.473,170.191,19184,20830,11
nearly_sorted,2100,STRING_MERGESORT_LCP,236.734,225.365,232.219,7873,15746,11
nearly_sorted,2100,MSD_RADIX_SORT,153.717,149.130,153.585,0,10212,11
nearly_sorted,2100,MSD_RADIX_SORT_WITH_STRING_QS,128.982,119.916,122.545,7985,13761,11
nearly_sorted,2200,QUICKSORT,308.623,300.462,305.025,32796,65592,11
nearly_sorted,2200,MERGESORT,217.432,211.583,215.356,18648,37296,11
nearly_sorted,2200,STRING_QUICKSORT,183.559,172.949,179.962,20300,22007,11
nearly_sorted,2200,STRING_MERGESORT_LCP,238.869,231.203,235.413,8167,16334,11
nearly_sorted,2200,MSD_RADIX_SORT,162.277,150.996,160.369,0,10694,11
nearly_sorted,2200,MSD_RADIX_SORT_WITH_STRING_QS,134.464,124.468,131.578,8344,14390,11
nearly_sorted,2300,QUICKSORT,321.793,312.279,316.451,34624,69248,11
nearly_sorted,2300,MERGESORT,225.779,219.723,221.722,19531,39062,11
